time,angle,pid_output,disturbance
0,0,0,0
51,0,0,0
102,0,0,0
153,0,0,0
204,0,0,0
255,0,0,0
306,0,0,0
357,0,0,0
408,0,0,0
459,0,0,0
510,0,0,0
561,0,0,0
612,0,0,0
663,0,0,0
714,0,0,0
765,0,0,0
816,0,0,0
867,0,0,0
918,0,0,0
969,0,0,0
1020,0,0,0
1071,0,0,0
1122,0,0,0
1173,0,0,0
1224,0,0,0
1275,0,0,0
1326,0,0,0
1377,0,0,0
1428,0,0,0
1479,0,0,0
1530,0,0,0
1581,0,0,0
1632,0,0,0
1683,0,0,0
1734,0,0,0
1785,0,0,0
1836,0,0,0
1887,0,0,0
1938,0,0,0
1989,0,0,0
2040,1.53,0,15
2091,2.53,-69.26,15
2142,3.64,-54.61,15
2193,4.67,-65.86,15
2244,5.67,-68.88,15
2295,6.63,-74.28,15
2346,7.56,-78.77,15
2397,8.45,-83.38,15
2448,9.31,-87.78,15
2499,10.14,-92.08,15
2550,10.93,-96.26,15
2601,11.7,-100,15
2652,12.46,-100,15
2703,13.23,-100,15
2754,13.99,-100,15
2805,14.76,-100,15
2856,15.52,-100,15
2907,16.29,-100,15
2958,17.05,-100,15
3009,17.82,-100,15
3060,18.58,-100,15
3111,19.35,-100,15
3162,20.11,-100,15
3213,20.88,-100,15
3264,21.64,-100,15
3315,22.41,-100,15
3366,23.17,-100,15
3417,23.94,-100,15
3468,24.7,-100,15
3519,25.47,-100,15
3570,26.23,-100,15
3621,27,-100,15
3672,27.76,-100,15
3723,28.53,-100,15
3774,29.29,-100,15
3825,30.06,-100,15
3876,30.82,-100,15
3927,31.59,-100,15
3978,32.35,-100,15
4029,33.12,-100,15
4080,33.88,-100,15
4131,34.65,-100,15
4182,35.41,-100,15
4233,36.18,-100,15
4284,36.94,-100,15
4335,37.71,-100,15
4386,38.47,-100,15
4437,39.24,-100,15
4488,40,-100,15
4539,40.77,-100,15
4590,41.53,-100,15
4641,42.3,-100,15
4692,43.06,-100,15
4743,43.83,-100,15
4794,44.59,-100,15
4845,45.36,-100,15
4896,46.12,-100,15
4947,46.89,-100,15
4998,47.65,-100,15
5049,46.89,-100,0
5100,46.12,-100,0
5151,45.36,-100,0
5202,44.59,-100,0
5253,43.83,-100,0
5304,43.06,-100,0
5355,42.3,-100,0
5406,41.53,-100,0
5457,40.77,-100,0
5508,40,-100,0
5559,39.24,-100,0
5610,38.47,-100,0
5661,37.71,-100,0
5712,36.94,-100,0
5763,36.18,-100,0
5814,35.41,-100,0
5865,34.65,-100,0
5916,33.88,-100,0
